Epoch,Stage,Interp_L2_Error,Interp_Time,Extrap_L2_Error,Extrap_Time
0,Zero-shot,3.442817e-01 ± 2.473859e-01,0.02,2.741018e-01 ± 1.759671e-01,0.01
50,FT after 50 epochs,2.247421e-01 ± 1.223066e-01,0.02,2.506330e-01 ± 1.163828e-01,0.01
250,FT after 250 epochs,2.231624e-01 ± 1.015630e-01,0.01,2.804302e-01 ± 1.087665e-01,0.01
500,FT after 500 epochs,2.280404e-01 ± 1.002011e-01,0.06,2.965107e-01 ± 1.041583e-01,0.03
750,FT after 750 epochs,2.310071e-01 ± 9.929249e-02,0.01,3.037370e-01 ± 1.019552e-01,0.01
1000,FT after 1000 epochs,2.326554e-01 ± 9.872951e-02,0.01,3.075231e-01 ± 1.007216e-01,0.01
