Epoch,Stage,Interp_L2_Error,Interp_Time,Extrap_L2_Error,Extrap_Time
0,Zero-shot,6.935800e-01 ± 2.751494e-01,0.02,5.100747e-01 ± 2.978699e-01,0.03
50,FT after 50 epochs,5.877098e-01 ± 6.506212e-02,0.01,7.134818e-01 ± 1.277735e-02,0.01
250,FT after 250 epochs,5.798205e-01 ± 1.095824e-02,0.02,6.185435e-01 ± 5.865121e-03,0.01
500,FT after 500 epochs,5.778088e-01 ± 4.357245e-03,0.01,5.809243e-01 ± 1.028705e-02,0.01
750,FT after 750 epochs,5.779954e-01 ± 2.199488e-03,0.01,5.796946e-01 ± 5.378519e-03,0.01
1000,FT after 1000 epochs,5.778731e-01 ± 1.647764e-03,0.01,5.793920e-01 ± 2.813486e-03,0.03
