Epoch,Stage,Interp_L2_Error,Interp_Time,Extrap_L2_Error,Extrap_Time
0,Zero-shot,5.749820e+00 ± 1.697621e-01,0.02,1.948503e+00 ± 1.918464e-01,0.01
50,FT after 50 epochs,4.659901e+00 ± 1.335803e-01,0.01,1.376950e+00 ± 2.651394e-01,0.01
250,FT after 250 epochs,2.782536e+00 ± 7.279048e-02,0.01,1.252072e+00 ± 2.064881e-01,0.01
500,FT after 500 epochs,1.788620e+00 ± 3.726336e-02,0.01,1.159446e+00 ± 1.374951e-01,0.01
750,FT after 750 epochs,1.521704e+00 ± 2.679397e-02,0.01,1.236844e+00 ± 1.041308e-01,0.01
1000,FT after 1000 epochs,1.379124e+00 ± 2.089759e-02,0.01,1.186916e+00 ± 9.450462e-02,0.01
