Epoch,Stage,Interp_L2_Error,Interp_Time,Extrap_L2_Error,Extrap_Time
0,Zero-shot,6.867965e+00 ± 1.645835e-01,0.02,3.610085e+00 ± 1.345961e-01,0.01
50,FT after 50 epochs,6.289858e+00 ± 1.498311e-01,0.01,3.137689e+00 ± 1.149924e-01,0.01
250,FT after 250 epochs,5.227887e+00 ± 1.274796e-01,0.01,1.842358e+00 ± 1.040675e-01,0.01
500,FT after 500 epochs,4.309514e+00 ± 1.039593e-01,0.01,1.607691e+00 ± 1.043892e-01,0.01
750,FT after 750 epochs,3.505847e+00 ± 8.399574e-02,0.02,1.526181e+00 ± 1.015847e-01,0.02
1000,FT after 1000 epochs,2.853875e+00 ± 6.853484e-02,0.01,1.456663e+00 ± 9.781789e-02,0.01
