Epoch,Stage,Interp_L2_Error,Interp_Time,Extrap_L2_Error,Extrap_Time
0,Zero-shot,3.092571e+00 ± 1.380837e-01,0.02,6.108495e+00 ± 2.343113e-01,0.03
50,FT after 50 epochs,2.329492e+00 ± 9.686154e-02,0.01,6.704518e+00 ± 2.502499e-01,0.03
250,FT after 250 epochs,2.001895e+00 ± 9.414517e-02,0.01,5.291121e+00 ± 1.887626e-01,0.01
500,FT after 500 epochs,1.950345e+00 ± 1.011247e-01,0.01,4.283292e+00 ± 1.517523e-01,0.02
750,FT after 750 epochs,1.845840e+00 ± 1.033697e-01,0.03,3.497021e+00 ± 1.211042e-01,0.01
1000,FT after 1000 epochs,1.752474e+00 ± 9.957452e-02,0.03,2.724429e+00 ± 9.152625e-02,0.01
