Epoch,Stage,Interp_L2_Error,Interp_Time,Extrap_L2_Error,Extrap_Time
0,Zero-shot,9.578528e-01 ± 1.664195e-01,0.02,1.354938e+00 ± 1.072808e+00,0.01
50,FT after 50 epochs,9.029083e-01 ± 8.749181e-02,0.01,1.258367e+00 ± 8.726341e-01,0.01
250,FT after 250 epochs,6.973858e-01 ± 1.364872e-01,0.01,1.072908e+00 ± 5.842929e-01,0.02
500,FT after 500 epochs,6.975118e-01 ± 1.651254e-01,0.01,9.974956e-01 ± 4.884591e-01,0.03
750,FT after 750 epochs,7.005536e-01 ± 1.836472e-01,0.01,9.761721e-01 ± 4.336260e-01,0.01
1000,FT after 1000 epochs,7.030396e-01 ± 1.972727e-01,0.01,9.680408e-01 ± 4.208621e-01,0.01
