Epoch,Stage,Interp_L2_Error,Interp_Time,Extrap_L2_Error,Extrap_Time
0,Zero-shot,1.261025e-01 ± 8.535656e-02,0.02,2.599786e-01 ± 1.388136e-01,0.01
50,FT after 50 epochs,1.294913e-01 ± 8.343970e-02,0.01,2.451848e-01 ± 1.473724e-01,0.01
250,FT after 250 epochs,1.314849e-01 ± 8.347493e-02,0.02,2.281039e-01 ± 1.211271e-01,0.01
500,FT after 500 epochs,1.322572e-01 ± 8.326950e-02,0.01,2.485595e-01 ± 1.100236e-01,0.01
750,FT after 750 epochs,1.327137e-01 ± 8.315589e-02,0.02,2.591281e-01 ± 1.080788e-01,0.01
1000,FT after 1000 epochs,1.330073e-01 ± 8.308797e-02,0.01,2.650864e-01 ± 1.076011e-01,0.02
