Split,Zero-shot_L2_Error,Zero-shot_Time,FT_50_epochs_L2_Error,FT_50_epochs_Time,FT_250_epochs_L2_Error,FT_250_epochs_Time,FT_500_epochs_L2_Error,FT_500_epochs_Time,FT_750_epochs_L2_Error,FT_750_epochs_Time,FT_1000_epochs_L2_Error,FT_1000_epochs_Time
Interpolation,1.261025e-01 ± 8.535656e-02,0.02,1.294913e-01 ± 8.343970e-02,0.01,1.314849e-01 ± 8.347493e-02,0.02,1.322572e-01 ± 8.326950e-02,0.01,1.327137e-01 ± 8.315589e-02,0.02,1.330073e-01 ± 8.308797e-02,0.01
Extrapolation,2.599786e-01 ± 1.388136e-01,0.01,2.451848e-01 ± 1.473724e-01,0.01,2.281039e-01 ± 1.211271e-01,0.01,2.485595e-01 ± 1.100236e-01,0.01,2.591281e-01 ± 1.080788e-01,0.01,2.650864e-01 ± 1.076011e-01,0.02
