Split,Zero-shot_L2_Error,Zero-shot_Time,FT_50_epochs_L2_Error,FT_50_epochs_Time,FT_250_epochs_L2_Error,FT_250_epochs_Time,FT_500_epochs_L2_Error,FT_500_epochs_Time,FT_750_epochs_L2_Error,FT_750_epochs_Time,FT_1000_epochs_L2_Error,FT_1000_epochs_Time
Interpolation,2.851726e-01 ± 1.863618e-01,0.02,2.105560e-01 ± 1.366853e-01,0.03,1.674583e-01 ± 7.906305e-02,0.01,1.703593e-01 ± 7.568864e-02,0.02,1.723774e-01 ± 7.530918e-02,0.01,1.735143e-01 ± 7.514846e-02,0.03
Extrapolation,2.888211e-01 ± 2.831542e-01,0.01,2.408931e-01 ± 2.365499e-01,0.01,2.348784e-01 ± 1.635827e-01,0.01,2.420643e-01 ± 1.488434e-01,0.01,2.455444e-01 ± 1.422842e-01,0.02,2.480408e-01 ± 1.377451e-01,0.01
