Epoch,Stage,Interp_L2_Error,Interp_Time,Extrap_L2_Error,Extrap_Time
0,Zero-shot,2.851726e-01 ± 1.863618e-01,0.02,2.888211e-01 ± 2.831542e-01,0.01
50,FT after 50 epochs,2.105560e-01 ± 1.366853e-01,0.03,2.408931e-01 ± 2.365499e-01,0.01
250,FT after 250 epochs,1.674583e-01 ± 7.906305e-02,0.01,2.348784e-01 ± 1.635827e-01,0.01
500,FT after 500 epochs,1.703593e-01 ± 7.568864e-02,0.02,2.420643e-01 ± 1.488434e-01,0.01
750,FT after 750 epochs,1.723774e-01 ± 7.530918e-02,0.01,2.455444e-01 ± 1.422842e-01,0.02
1000,FT after 1000 epochs,1.735143e-01 ± 7.514846e-02,0.03,2.480408e-01 ± 1.377451e-01,0.01
