Epoch,Stage,Interp_L2_Error,Interp_Time,Extrap_L2_Error,Extrap_Time
0,Zero-shot,6.807377e-01 ± 2.657979e-01,0.02,6.262590e-01 ± 1.873867e-01,0.01
50,FT after 50 epochs,6.474790e-01 ± 1.493191e-01,0.01,7.234610e-01 ± 1.844685e-02,0.03
250,FT after 250 epochs,5.740450e-01 ± 9.443330e-03,0.02,5.903436e-01 ± 5.412960e-03,0.03
500,FT after 500 epochs,5.735829e-01 ± 2.770510e-03,0.03,5.779565e-01 ± 1.954222e-03,0.01
750,FT after 750 epochs,5.737765e-01 ± 2.075813e-03,0.01,5.768226e-01 ± 1.962196e-03,0.03
1000,FT after 1000 epochs,5.739844e-01 ± 1.862766e-03,0.03,5.763323e-01 ± 2.025713e-03,0.03
