Split,Zero-shot_L2_Error,Zero-shot_Time,FT_50_epochs_L2_Error,FT_50_epochs_Time,FT_250_epochs_L2_Error,FT_250_epochs_Time,FT_500_epochs_L2_Error,FT_500_epochs_Time,FT_750_epochs_L2_Error,FT_750_epochs_Time,FT_1000_epochs_L2_Error,FT_1000_epochs_Time
Interpolation,6.807377e-01 ± 2.657979e-01,0.02,6.474790e-01 ± 1.493191e-01,0.01,5.740450e-01 ± 9.443330e-03,0.02,5.735829e-01 ± 2.770510e-03,0.03,5.737765e-01 ± 2.075813e-03,0.01,5.739844e-01 ± 1.862766e-03,0.03
Extrapolation,6.262590e-01 ± 1.873867e-01,0.01,7.234610e-01 ± 1.844685e-02,0.03,5.903436e-01 ± 5.412960e-03,0.03,5.779565e-01 ± 1.954222e-03,0.01,5.768226e-01 ± 1.962196e-03,0.03,5.763323e-01 ± 2.025713e-03,0.03
