Split,Zero-shot_L2_Error,Zero-shot_Time,FT_50_epochs_L2_Error,FT_50_epochs_Time,FT_250_epochs_L2_Error,FT_250_epochs_Time,FT_500_epochs_L2_Error,FT_500_epochs_Time,FT_750_epochs_L2_Error,FT_750_epochs_Time,FT_1000_epochs_L2_Error,FT_1000_epochs_Time
Interpolation,6.621986e-01 ± 2.870629e-01,0.02,6.276940e-01 ± 1.166457e-01,0.01,5.779898e-01 ± 7.451417e-03,0.02,5.751855e-01 ± 2.509613e-03,0.01,5.744864e-01 ± 1.879461e-03,0.01,5.740813e-01 ± 1.468177e-03,0.02
Extrapolation,7.177658e-01 ± 2.384191e-01,0.01,6.802355e-01 ± 4.155175e-02,0.02,6.047410e-01 ± 1.125675e-02,0.01,5.816380e-01 ± 4.239774e-03,0.01,5.800919e-01 ± 2.934018e-03,0.02,5.793848e-01 ± 2.286086e-03,0.01
