Epoch,Stage,Interp_L2_Error,Interp_Time,Extrap_L2_Error,Extrap_Time
0,Zero-shot,6.621986e-01 ± 2.870629e-01,0.02,7.177658e-01 ± 2.384191e-01,0.01
50,FT after 50 epochs,6.276940e-01 ± 1.166457e-01,0.01,6.802355e-01 ± 4.155175e-02,0.02
250,FT after 250 epochs,5.779898e-01 ± 7.451417e-03,0.02,6.047410e-01 ± 1.125675e-02,0.01
500,FT after 500 epochs,5.751855e-01 ± 2.509613e-03,0.01,5.816380e-01 ± 4.239774e-03,0.01
750,FT after 750 epochs,5.744864e-01 ± 1.879461e-03,0.01,5.800919e-01 ± 2.934018e-03,0.02
1000,FT after 1000 epochs,5.740813e-01 ± 1.468177e-03,0.02,5.793848e-01 ± 2.286086e-03,0.01
