Split,Zero-shot_L2_Error,Zero-shot_Time,FT_50_epochs_L2_Error,FT_50_epochs_Time,FT_250_epochs_L2_Error,FT_250_epochs_Time,FT_500_epochs_L2_Error,FT_500_epochs_Time,FT_750_epochs_L2_Error,FT_750_epochs_Time,FT_1000_epochs_L2_Error,FT_1000_epochs_Time
Interpolation,9.051659e-01 ± 3.225092e-01,0.04,8.660190e-01 ± 2.624747e-01,0.02,7.980046e-01 ± 1.743044e-01,0.01,7.537428e-01 ± 1.039510e-01,0.01,7.323792e-01 ± 8.754383e-02,0.01,7.216678e-01 ± 1.030145e-01,0.01
Extrapolation,1.201421e+00 ± 7.770407e-01,0.01,1.083303e+00 ± 5.541609e-01,0.02,1.000347e+00 ± 3.084484e-01,0.01,9.846918e-01 ± 2.367725e-01,0.01,9.803599e-01 ± 2.162475e-01,0.01,9.782509e-01 ± 2.087401e-01,0.01
