Epoch,Stage,Interp_L2_Error,Interp_Time,Extrap_L2_Error,Extrap_Time
0,Zero-shot,9.051659e-01 ± 3.225092e-01,0.04,1.201421e+00 ± 7.770407e-01,0.01
50,FT after 50 epochs,8.660190e-01 ± 2.624747e-01,0.02,1.083303e+00 ± 5.541609e-01,0.02
250,FT after 250 epochs,7.980046e-01 ± 1.743044e-01,0.01,1.000347e+00 ± 3.084484e-01,0.01
500,FT after 500 epochs,7.537428e-01 ± 1.039510e-01,0.01,9.846918e-01 ± 2.367725e-01,0.01
750,FT after 750 epochs,7.323792e-01 ± 8.754383e-02,0.01,9.803599e-01 ± 2.162475e-01,0.01
1000,FT after 1000 epochs,7.216678e-01 ± 1.030145e-01,0.01,9.782509e-01 ± 2.087401e-01,0.01
