Split,Zero-shot_L2_Error,Zero-shot_Time,FT_50_epochs_L2_Error,FT_50_epochs_Time,FT_250_epochs_L2_Error,FT_250_epochs_Time,FT_500_epochs_L2_Error,FT_500_epochs_Time,FT_750_epochs_L2_Error,FT_750_epochs_Time,FT_1000_epochs_L2_Error,FT_1000_epochs_Time
Interpolation,9.119487e-01 ± 5.045846e-01,0.02,8.393632e-01 ± 3.800641e-01,0.03,7.959313e-01 ± 1.579774e-01,0.03,7.817279e-01 ± 7.489510e-02,0.03,7.796967e-01 ± 7.406437e-02,0.02,7.840869e-01 ± 9.450046e-02,0.01
Extrapolation,1.210015e+00 ± 8.316050e-01,0.03,1.151614e+00 ± 7.659868e-01,0.04,1.005404e+00 ± 5.026314e-01,0.01,9.666899e-01 ± 3.756015e-01,0.01,9.541651e-01 ± 3.350488e-01,0.04,9.475994e-01 ± 3.241371e-01,0.01
